labels,text,translated_text
sw,"Sisi na dharura nyingi , comart alisema .",comart는 많은 긴급 상황이 있다고 말했습니다.
ar,بالتاكيد انت مرحب بك حسنا مع السلامة,물론 천만에요 그럼 안녕히 계세요
vi,"Dưới sự tiếp cận của quản lý xây dựng , các hợp đồng chủ sở hữu với một công ty bên ngoài để quản lý công trình của một dự án .",건설 관리 접근 방식에서 발주자는 프로젝트의 작업을 관리하기 위해 외부 회사와 계약을 맺습니다.
fr,Fonctionne mais seulement par le fil câblé sur la box et non par extension. Du coup internet par câble sur ordinateur mais pas wifi.,작동하지만 연장선이 아닌 상자에 연결된 케이블로만 작동합니다. 따라서 컴퓨터에는 케이블 인터넷이 있지만 Wi-Fi는 없습니다.
ar,"ولكن حتى وان كانت الخبرة الفنية مهمة , فانهاها هم مديرو الاعمال ايضا , مع الخبرة في الادارة الادارية والمالية وادارة الشركات .",그러나 기술적인 전문성이 중요하더라도 행정 및 재무 관리 및 기업 관리 경험을 갖춘 비즈니스 관리자도 마무리합니다.
zh,前三页居然有如此多的错误，简直不敢相信。不知道是出版社的问题，还是亚马逊的问题，难道亚马逊卖盗版书？,처음 세 페이지에 오류가 너무 많아서 믿을 수 없습니다. 퍼블리셔의 문제인지 아마존의 문제인지 모르겠는데 아마존에서 해적판도 팔아요?
pt,"Numa mistura de antigos ritos pagãos e cristãos modernos, os aldeões encenaram uma série de cerimónias na esperança de apagar as desgraças que acreditam tê-los mantido pobres.",고대 이교도와 현대 기독교 의식이 혼합된 마을 사람들은 자신들을 가난하게 만들었다고 믿는 불행을 지우기 위해 일련의 의식을 거행했습니다.
sw,"-- yako humbly ,","-- 당신의 겸허한,"
ar,( ويصدق نفس الشيء على اي صحفي يعمل في اي شركة ذات مصالح متنوعة ) . ),(다양한 이해관계를 가진 회사에서 일하는 언론인도 마찬가지입니다.) )
it,Una donna in posa davanti a un condominio nella neve.,한 여성이 눈 속에서 아파트 건물 앞에서 포즈를 취하고 있습니다.
pt,aqueles que ignoram a história estão condenados a repeti-la.,역사를 무시하는 사람들은 그것을 반복할 운명에 처해 있습니다.
en,A+ art but the story falls apart in the final act. Great concept that was never fully realized.,A + 예술이지만 이야기는 마지막 막에서 무너집니다. 완전히 실현되지 않은 훌륭한 개념.
de,Der Artikel ist bei uns nie angekommen. Schönen Dank,항목이 우리에게 도착하지 않았습니다. 많은 감사
fr,"Bcp de mouvement, fragilité extrême. Je ne suis pas satisfait de cet achat et ne recommande pas ce support pour tablette...","많은 움직임, 극도의 취약성. 이 구매에 만족하지 않으며 이 태블릿 스탠드를 권장하지 않습니다..."
pt,Futuros do índice de acções da China fecham mais abaixo -- 23 de Abril,중국 주가 지수 선물 하락 종가 -- 4월 23일
el,"Αν και μερικές φορές είναι δυνατόν να εισέλθουν στο θιβέτ σε αυτή τη συνοριακή διάβαση , είναι πολύ πιο εύκολο να πετάξει κανείς από το κατμαντού στη λάσα και στη συνέχεια να ταξιδέψει με την ξηρά πίσω στο Νεπάλ .",때때로 이 국경 교차로에서 티베트에 들어가는 것이 가능하지만 카트만두에서 라사까지 비행기를 타고 육로로 네팔로 돌아가는 것이 훨씬 쉽습니다.
ja,この値段なのに生地もしっかりしており、デザインもとても気に入っています。周りの評判も良かったです。,이 가격인데 천도 확실히 하고 있어 디자인도 매우 마음에 듭니다. 주위의 평판도 좋았습니다.
ur,صندوقچہ ( aol ) ، aol ( aol ) نامی پروگرام کا ایک اعلی تجربہ ہے ۔,Box(aol)는 aol(aol)이라는 고급 프로그램입니다.
de,"Ich persönlich putze auch mit einer Oral B Zahnbürste und bin damit sehr zufrieden. Für meinen Sohn (fast 3) habe ich die Zahnbürste bestellt und er fand sie super! Design und Look sind 5 Sterne. Die Verpackung finde ich sehr übertrieben, sehr viel Plastik und so stark verschweißt, dass man sie nur mit Kraft mit einer normalen Schere aufschneiden kann. Leider finde ich auch den Griff für Kinderhände nicht optimal, da die Kleinen die ""große Zahnbürste"" noch nicht richtig halten können, aber doch auch mal alleine putzen möchten. Ansonsten aber wie immer zufrieden - zwei Sterne Abzug wegen Verpackung und Handhabung.","개인적으로 저도 오랄비 칫솔로 양치하는데 매우 만족하고 있습니다. 나는 내 아들 (거의 3)을 위해 칫솔을 주문했고 그는 그것이 훌륭하다고 생각했습니다! 디자인과 외관은 별 5개입니다. 나는 포장이 매우 과장되고 플라스틱이 많고 너무 단단히 용접되어 일반 가위로만 열 수 있다는 것을 알았습니다. 불행히도 어린 아이들은 아직 ""큰 칫솔""을 제대로 잡을 수 없지만 여전히 스스로 닦고 싶어하기 때문에 손잡이가 아이들의 손에 이상적이라고 생각하지 않습니다. 그 외에는 항상 만족합니다. 포장 및 취급으로 인해 별 2개가 차감됩니다."
ar,من الاشياء الفعلية ولكنهم لم ' ها,실제 물건이지만 그들은 하
bg,"например , в центъра на двора е на съд , огромна шахматна дъска за играта на pachisi , където акбар и приятелите му се казват , че са използвали човешки парчета всеки играч , използвайки екип от четири робини в различни костюми .",예를 들어 법원 중앙에는 파치시(pachisi) 게임을 위한 거대한 체스판이 있습니다. 여기서 akbar와 그의 친구들은 서로 다른 의상을 입은 4명의 여성 노예로 구성된 팀을 사용하여 각 플레이어에게 인간 조각을 사용했다고 합니다.
el,Δεν υπάρχει ακόμα κανένα σημάδι ότι η διοίκηση θα μπει στον πειρασμό με το δικό μου λάθος και θα το ξεχάσει .,경영진이 내 실수에 유혹을 받고 잊어버릴 조짐은 아직 없다.
sw,Ilichukua kifaransa umewaondoa muda mrefu kuja kwa masharti na hali ya ukweli kiasi cha kile ambacho mtindo wa louis gharama taifa .,루이 스타일이 국가에 어떤 대가를 치렀는지에 대한 현실을 프랑스인들이 받아들이는 데 오랜 시간이 걸렸습니다.
zh,非常好的一本书值得每个有高中孩子的家长阅读！,고등학생 자녀를 둔 모든 부모가 읽어야 할 아주 좋은 책!
el,Έκθεση Α-1 : Ενιαία έκθεση fgd a-2 : τρεις fgd ενότητες σε έξι μονάδες έκθεση a-3 : Ενιαία έκθεση scr a-4 : επτά στατιστικών έκθεση a-5 : Ενιαία έκθεση aci α-6 : δύο acis έκθεση α-7 : Ενιαία fgd και scr έκθεση a-8 : Ενιαία fgd και aci έκθεση a-9 : Ενιαία scr και aci,보고서 A-1 : 단일 보고서 fgd a-2 : 6개 단위의 3개 fgd 단위 보고서 a-3 : 단일 보고서 scr a-4 : 7개의 통계 보고서 a-5 : 단일 보고서 aci a-6 : 2개의 acis 보고서 a-7 : 단일 fgd 및 scr 보고서 a-8 : 단일 fgd 및 aci 보고서 a-9 : 단일 scr 및 aci
pt,Um cão está a saltar sobre um trampolim.,개가 트램폴린에서 점프하고 있습니다.
th,สภาพแวดล้อม ของ วันนี้ คือ การ สร้าง ผลลัพธ์,오늘날의 환경은 결과를 생산하는 것입니다.
hi,"आज के प ् रतिक ् रियाओं का आकलन कर रहा है , नेटवर ् क का लाइनअप पीटर जेनिंग ् स , सैम koppel , टेड koppel , टेड koppel , और बारबरा वॉल ् टर ् स , अपने बोलो के बारे में एलेन डीजेनेरेस को ग ् रिल कर रहा है जबकि एक नंगे-regis philbin नकद और पुरस ् कार का काम कर रहा है ।","오늘날의 문화적 관행을 평가하면서 네트워크의 Peter Jennings, Sam Koppel, Ted Koppel, Ted Koppel 및 Barbara Walters 퀴즈 Ellen DeGeneres의 연설에 대한 라인업은 맨 가슴의 Regis philbin이 현금과 상금을 계산하는 동안 비틀거리고 있습니다."
tr,Lsc-finanse edilen yasal hizmetler için uygun olan uzaylıların kategorileri,Lsc 자금 지원 법률 서비스를 받을 수 있는 외국인 범주
bg,аз съм ги държал там .,나는 그들을 거기에 두었다.
th,กู สงสัย มัน,나는 의심한다
en,I never got this product,나는이 제품을 얻지 못했다
fr,Ce produit est presque parfait.. Le stylo ne fonctionne pas. Très déçut,이 제품은 거의 완벽합니다. 펜이 작동하지 않습니다. 정말 실망했다
th,แม่น้ำ ดู ยอดเยี่ยม จาก ระเบียง ของ มัน และ สวนดอกไม้ ที่ มี ดอกไม้ และ มัน เป็น ธรรมเนียม ที่จะ เพลิดเพลิน ไป กับ น้ำชา ยาม บ่าย หรือ,강은 테라스와 꽃이 만발한 화원에서 멋지게 보이며 애프터눈 티를 즐기는 것이 일반적입니다.
pt,O Wal-Mart estima que mais de 100 milhões de americanos visitam as suas lojas todas as semanas.,월마트는 매주 1억 명 이상의 미국인이 매장을 방문하는 것으로 추산합니다.
de,"lange Brenndauer und duftet auch nach mehrmaliger Anwendung . Der Preis könnte billiger sein . Große Auswahl an Duftvarianten , vielseitig","반복 사용 후에도 연소 시간이 길고 냄새가 납니다. 가격은 더 저렴할 수 있습니다. 다양한 방향제 선택, 다재다능함"
el,"Στη Βόρεια άκρη του Σινά είναι η taba , με αρκετά μεγάλα ξενοδοχεία , σηματοδοτώντας τα αιγυπτιακά / ισραηλινά σύνορα .",시나이 북쪽 가장자리에는 이집트/이스라엘 국경을 표시하는 여러 대형 호텔이 있는 타바가 있습니다.
tr,Dünyanın günahları için mükemmel ve yeterli bir fedakarlık .,세상의 죄를 위한 완전하고 충분한 희생 제물.
vi,Chờ một phút không trả tiền cho chúng tôi quá nhiều bạn biết và họ bỏ nó bằng số dư của bạn uh họ bỏ thanh toán hàng tháng của bạn xuống thấp bởi vì họ muốn có sự quan tâm đến việc xây dựng,잠깐만요. 우리에게 너무 많이 지불하지 마세요. 그들은 당신의 잔고에 넣습니다. 어 그들은 건물에 관심을 갖고 싶어하기 때문에 당신의 월 지불액을 낮게 책정했습니다.
en,Easy to install and remove. Holds by 25lb 1 yr old just fine!,설치 및 제거가 용이합니다. 25파운드 1세도 잘 견딥니다!
bg,"да , ние всъщност нямаме. имаме някои проблеми тук с учителите .","예, 우리는 정말로 가지고 있지 않습니다. 여기 선생님들과 몇 가지 문제가 있습니다."
ja,赤のケーブルを購入。探しやすいし、なんせ格好良いです。1本3役、すごく便利です〜,"빨간색 케이블을 구입. 찾기 쉽고 어쨌든 멋집니다. 1개 3역, 매우 편리합니다~"
ru,"И мне нужно разработать функциональные спецификации , стол и топ-издательство , и все такое , так что","그리고 기능 사양, 테이블 및 최고 출판사 등을 개발해야 하므로"
pt,Dois cavalos castanhos de pé num prado verde.,녹색 풀밭에 서 있는 두 갈색 말.
pl,Otwarcie pierwszej pilotażowej chińskiej strefy wolnego handlu,제1차 중국 자유무역 시범구 개장
it,"I soldati di ISRAELI hanno abbattuto da un giorno all'altro case mobili e torri dell'acqua vuote in 10 piccoli avamposti di insediamento in Cisgiordania, come parte di un piano di pace in Medio Oriente sostenuto dagli Stati Uniti.",이스라엘 군인들은 미국이 지원하는 중동 평화 계획의 일환으로 웨스트 뱅크에 있는 10개의 작은 정착촌 전초기지에서 빈 이동식 주택과 급수탑을 밤새 허물었습니다.
nl,Een vrouw schiet met een geweer.,여자가 소총으로 쏜다.
ar,"في التسوق , بينما لا يعرف نفسه كمنت المنتقم للتسوق -- هذا كان يعني تغيير الىته و كيب في صالة رجال الاعمال -- ابلغ هذا الموظف الخطوط البريطانية سيئة موظف ان في التسوق كان في امريكا محامي المستهلك ( هذه كذبة , لكنها انجليزية , فما الذي تعرفه ? )","쇼핑할 때, 자신을 쇼핑 어벤저로 밝히지 않으면서--그것은 비즈니스맨 라운지에서 장비와 망토를 바꾸는 것을 의미했습니다--이 점원은 나쁜 British Airways 직원에게 쇼핑에서 자신이 미국 소비자 옹호자라고 말했습니다(거짓말입니다) , 근데 영어라 뭘 알아? ?)"
nl,Gunners schieten maar komen niet verder in de Champions League...,포수는 슛을 쏘지만 챔피언스리그 진출은 못한다…
es,"Es un limpiador que sirve para quitar los puntos negros y la piel muerta. Absorbe con fuerza para quitarlos, tiene tres niveles de succión, recomiendo empezar por el más bajo ya que si lo utilizas mucho tiempo en el mismo sitio puede dejar marca.",블랙헤드와 각질을 제거하는 데 사용하는 클렌저입니다. 강력하게 흡착하여 제거하는데 3단계 흡입력이 있어 같은 장소에서 오래 사용하면 자국이 남을 수 있으니 가장 낮은 것부터 시작하는 것이 좋습니다.
en,"After initial test product works great, picture quality is excellent. Once plugged in my Macbook Pro defaulted to screen mirroring, I changed display to multiple screens and had no issues. Great product after initial test!",초기 테스트 제품이 훌륭하게 작동한 후 화질이 우수합니다. Macbook Pro를 연결하면 기본적으로 화면 미러링이 기본 설정되어 있으므로 디스플레이를 여러 화면으로 변경했는데 아무런 문제가 없었습니다. 초기 테스트 후 훌륭한 제품!
it,"""I ciclopi non esistono"" - bene.","""Cyclopes는 존재하지 않습니다""-좋습니다."
pt,19 feridos no tiroteio em Nova Orleães,뉴올리언스 총기 난사로 19명 부상
ja,畳んだ大きさに関しては文句無いほどに小さく軽いですが2回目の使用時で既に火力が不安定になり３回目ではとろ火以上に炎が大きくならず残念ながら返品しました。,접힌 크기에 관해서는 불평 없을 정도로 작고 가볍습니다만 2회째의 사용시에 이미 화력이 불안정해져 3회째에서는 녹불 이상으로 불꽃이 커지지 않고 유감스럽게 반품했습니다.
sw,"Basi hapo bi cavendish , aliendelea poirot .","그래서 캐번디시 부인, 포와로가 계속했습니다."
es,"Micrófonos para karaoke estupendo, a destacar fundamentalmente la conectividad, lo he probado a 20 metros y ninguna interferencia. Los dos micrófonos bastante ligeros","훌륭한 가라오케 마이크, 근본적으로 연결성을 강조하기 위해 20미터에서 테스트했으며 간섭이 없습니다. 상당히 가벼운 두 개의 마이크"
bg,"хора като моите правни услуги в айова , охайо , вирджиния , аризона и кентъки , които са посветили години от живота си на движението за правни услуги .","아이오와, 오하이오, 버지니아, 애리조나, 켄터키에서 수년간 법률 서비스 운동에 헌신한 나의 법률 서비스를 좋아하는 사람들."
el,"Επειδή ο συνδυασμός scr και fgd αναμένεται να έχει υψηλή απομάκρυνση υδραργύρου λόγω των συστημάτων scr και fgd , οι εγκαταστάσεις που είναι τόσο εξοπλισμένες δεν αναμένεται να προσθέσουν συστήματα aci .",scr 및 fgd 조합은 scr 및 fgd 시스템으로 인해 높은 수은 제거율을 가질 것으로 예상되기 때문에 그렇게 장착된 시설은 aci 시스템을 추가할 것으로 예상되지 않습니다.
el,"Ένας χρυσοθήρας που είχε φαγητό , βρήκε την ' oro κρουζ , ένα από τα πλουσιότερα ορυχεία στους λόφους καπνό .",음식을 먹던 금 사냥꾼이 담배 언덕에서 가장 부유한 광산 중 하나인 '오로 크루즈'를 발견했습니다.
it,Il Dipartimento di Stato degli Stati Uniti ha commesso un errore su Bengasi,미 국무부는 벵가지에 대해 실수를 저질렀다
el,Μιλάμε για μόχθο και μπελάδες ...,우리는 수고와 문제에 대해 이야기하고 있습니다 ...
it,"Sono detenuti circa 660 prigionieri provenienti da 42 paesi, tra cui il Canada, molti dei quali catturati durante la guerra contro la rete di al-Qaeda in Afghanistan.","캐나다를 포함한 42개국에서 온 약 660명의 수감자들이 구금되어 있으며, 그들 중 다수는 아프가니스탄의 알카에다 네트워크와의 전쟁 중에 체포되었습니다."
nl,Een kamer met diverse computers en foto's aan de muur.,벽에 여러 대의 컴퓨터와 그림이 있는 방.
bg,"падна и разби черепа й и това беше нещо , но просто ужасно .",넘어져서 그녀의 두개골에 금이 갔고 그것은 끔찍했지만 무언가였습니다.
ar,""" الفريد ان inglethorpورب "" بالطبع "" """,물론 알프레드 앤 잉글소프.
en,"Good helper,Sun shading works well.It's getting hot, just in time.very nice.",좋은 조력자입니다.차양막이 잘 작동합니다.제때 뜨거워지고 있습니다.매우 좋습니다.
ru,"Оттенки pelmanism ! Сказал Томми , и впал в тишину .",pelmanism의 그늘! Tommy는 그렇게 말하고 침묵에 빠졌습니다.
bg,неблагоприятни последици за здравето между контролните и изходните сценарии .,통제 시나리오와 기준 시나리오 사이의 건강에 미치는 악영향.
tr,Ve bunun için kayıt olmasını istediler ve bana bunu yapmak ister misin diye sordu ve ben de emin ol dedim sadece sen bilirsin işte yardım etmeyi bilirsin ne kadar çok katılımcı varsa o kadar büyük,그리고 그들은 그에게 등록을 요청했고 그는 당신이 그것을 하고 싶은지 물었고 나는 당신이 참석자가 많을수록 더 큰 것을 돕는 방법을 알고 있다고 확신한다고 말했습니다.
es,Tienes que tener el cabello casi blanco para que agarre el. Tono como tal,내가 그것을 잡으려면 당신은 거의 백발이되어야합니다. 그런 톤
ja,そもそも洗口液探してのに液体ハミガキ出ちゃって、買い間違いでした,처음에는 세구액을 찾는데 액체 하미가키가 나오고 사는 실수였습니다.
es,Gran desilusión al abrir el paquete.Materiales de mala calidad. No corresponde para nada a su precio. Lo he devuelto y he comprado otro de otra marca.,포장을 개봉했을 때 큰 실망. 품질이 좋지 않은 재료. 가격과 전혀 일치하지 않습니다. 나는 그것을 반환하고 다른 브랜드에서 다른 것을 샀다.
ja,A4横に入れた場合、クリアファイルが付くと入れにくく厳しい。あと2センチ大きいとイイネ。,"A4 옆에 넣었을 경우, 클리어 파일이 붙으면 넣기 어렵고 엄격하다. 그리고 2센티 크면 이이네."
ur,جی ہاں ، میں دوستوں سے محبت کرتا ہوں,"그래, 난 친구를 사랑해"
sw,Mgombea wa alfa wange mbwa mwitu kabisa .,알파 후보는 완전한 늑대가 될 것입니다.
it,"Lunedì si sono unite a Boston le comunità del Massachusetts di Watertown, Saugus e Framingham.","Watertown, Saugus 및 Framingham의 매사추세츠 커뮤니티가 월요일에 보스턴에 합류했습니다."
ja,安いので、しかたないかな。鍵の識別の目的は達せられます,"싸기 때문에, 밖에 없을까. 키 식별의 목적은 도달"
en,"Great fan while it lasted. Nice and quiet. But, after 10 months one fan quit working, and after another 5 months another one quit. I'm going to contact Holmes to see if they actually honor their 5 year warranty.","그것이 지속되는 동안 큰 팬. 좋고 조용합니다. 그런데 10개월 만에 한 팬이 일을 그만뒀고, 또 5개월 만에 또 한 팬이 그만뒀다. Holmes에 연락하여 실제로 5년 보증을 준수하는지 확인하겠습니다."
th,การ วิเคราะห์ เชื้อโรค และ จุด ควบคุม วิกฤติ   ( haccp )   ระบบ,병원균 분석 및 중점관리점(haccp) 시스템
ru,"Точно так же , как кванза , созданная в 1966 году , вернула многих чёрных американцев к их африканскому наследию , так что ханука помогла трос евреев к их наследию и в некоторых случаях вернула их обратно в лоно .",1966년에 만들어진 Kwanzaa가 많은 흑인 미국인을 그들의 아프리카 유산으로 되돌려 놓았듯이 Hanukkah는 유대인을 그들의 유산에 묶는 것을 도왔고 어떤 경우에는 그들을 다시 우리로 데려왔습니다.
vi,Chi tiết yêu thích của tôi là quảng cáo truyền hình nơi họ đổ ra khỏi kinh thánh khổng lồ .,내가 가장 좋아하는 디테일은 거대한 성경에서 쏟아지는 TV 광고입니다.
ar,ويقدم البنك معلومات في الوقت الحقيقي في اللافتة .,은행은 배너에서 실시간 정보를 제공합니다.
bg,"за да видя какви щети съм направил , но",내가 어떤 피해를 입혔는지 확인하기 위해
it,Una donna sta nutrendo un oritteropo.,한 여성이 땅돼지에게 먹이를 주고 있습니다.
pl,"Korea Północna ostrzega cudzoziemców na południu, doradzając ewakuację","북한, 남측 외국인들에게 대피 경고"
ar,"اليوم , حصن ( qait ) في القرن ال 15 يراقب مدخل الميناء .",오늘날 15세기 카이트 요새가 항구 입구를 지키고 있습니다.
ur,سیاسی صحافی یا فریبانہ ( فریبانہ ) یا فریبانہ ( فریبانہ ) یا فریبانہ ( فریبانہ ) ہے کہ اس کا مطلب ہے کہ ایک فریبانہ ہے جو کہ آپ کو واشنگٹن ڈی سی کے طور پر نظر آتا ہے ۔ کریپ کی تراکیب,"정치 저널리스트는 기만적(기만적) 또는 기만적(기만적) 또는 기만적(기만적)입니다. 즉, 워싱턴 DC로 보는 속임수가 있습니다. 크레이프 조리법"
sw,"Nikiwa na blot wa ajabu , pirates nilipanda njia zote , mara mbili , kwa pillage san german .","멋진 오점으로, 나는 산 독일을 약탈하기 위해 두 번이나 끝까지 탔습니다."
nl,Onder de NASD regelgeving kan Mr. Young een antwoord indienen en een hoorzitting aanvragen voor een NASD-panel.,NASD 규정에 따라 Mr. Young은 답변을 제출하고 NASD 패널 전에 청문회를 요청합니다.
en,Thought I was getting a set not one bottle for that price. Won’t order again!!!,나는 그 가격에 한 병이 아닌 세트를 받고 있다고 생각했습니다. 다시 주문하지 않습니다!!!
ar,- ويستخدم نموذجتحمض المياه الجوفية في مستجمعات المياه ( السحر ) لدراسة التغيرات في الكيمياء السطحية للمياه العذبة كما يتبين من التغيرات في القدرة على تحييد الاحماض في منطقة waterbody ( waterbody ) .,지하수 산성화 모델은 유역(Al-Mahr)에서 수체 지역의 산을 중화하는 능력의 변화로 표시되는 담수 표면 화학의 변화를 연구하는 데 사용됩니다.
bg,"тя седна и се усмихна с въздуха на този , който държи ситуацията добре в ръцете си .",그녀는 상황을 잘 파악한 사람의 태도로 앉아서 미소를 지었다.
it,Scontri mortali mentre l'Egitto segna l'anniversario,이집트가 기념일을 기념하면서 치명적인 충돌
nl,De moslims zouden hetzelfde zeggen over de Koran.,이슬람교도들은 꾸란에 대해서도 똑같이 말할 것입니다.
zh,好书。评价一个伟人，应该让世人全面、客观的去了解他，而不是刻意去掩盖、断章取义。真实、鲜活的人生介绍，才符合伟人的头衔，这方面国外做得确实好，点赞👍。,좋은 책. 위인을 평가하기 위해서는 고의적으로 은폐하고 맥락에서 의미를 빼는 것이 아니라 세상이 그를 포괄적이고 객관적으로 이해하도록 허용해야 합니다. 진솔하고 생생한 인생소개서는 위인이라는 타이틀에 걸맞게 이런 면에서 외국이 참 잘했다.좋아요👍.
hi,मैं यह भी नहीं देखा था कि जब तक वह मर गया था वह कितना छोटा था .,나는 그가 죽을 때까지 그가 얼마나 젊었는지조차 보지 못했습니다.
de,"Für Kinder geeignet, jedoch nicht für Erwachsene!!",어린이용은 맞지만 성인용은 아닙니다!!
tr,Ama set üstü kutu cevap olmasa bile malone bir sonraki görünüyor kadar bekleyecek .,그러나 셋톱박스가 답이 아니더라도 말론이 다음에 보일 때까지 기다릴 것이다.
ur,اس میں 200 سے زائد اقسام کے ستنپایی ہوتے ہیں ، جن میں سے سب سے زیادہ اہم ترین پانڈا ہے ، اور ایک سطع مرتفع ہیں .,200종 이상의 포유동물이 서식하고 있으며 그 중 가장 중요한 것은 자이언트 판다와 깨끗한 고원입니다.
nl,Een trein staat op een station.,기차가 역에 있습니다.
sw,"I don ' t really remember how much i think it ' s about five hundred limit , si unajua tu ni yeye tu kwa na na","500 한도 정도인 것 같은데, si unajua tu ni yeye tu kwa na na"
ru,"Здесь было много такси , и до того , как уиттингтон на от другого , он рисунок на обочину в соответствии с императивных рукой томми .",여기에는 많은 택시가 있었고 다른 쪽에서 Whittington이 타기 전에 그는 Tommy의 명령에 따라 연석으로 차를 그렸습니다.
bg,"участниците представляват ключови заинтересовани страни , включително дарители , лидери на бар , съдии , адвокати и клиенти , наред с други .","참가자는 기부자, 변호사 지도자, 판사, 변호사, 고객 등 주요 이해관계자를 대표합니다."
hi,"उसकी पत ् नी ने उसे उसका पीछा किया , जो कि श ् रीमती inglethorp को इससे बेहतर सोचने के बारे में कुछ सुनेगा .","그의 아내는 그를 따라갔고, 그는 Inglethorp 부인이 더 잘 생각하고 있다는 말을 듣게 될 것입니다."
el,"Αλλά έτσι θα ήταν καλή ιδέα να αποθαρρύνουμε την οδήγηση μέσω υψηλότερων διοδίων , ακριβότερο αερίου και καλύτερης δημόσιας μεταφοράς .","그러나 더 높은 통행료, 더 비싼 휘발유, 더 나은 대중 교통을 통해 운전을 억제하는 것이 좋습니다."
tr,Kokteyl mi uh ne,우리는 칵테일이 없습니다
pt,A corrida New York-to-London da British Airways terminará em Outubro.,영국항공의 뉴욕-런던 노선은 10월에 종료됩니다.
el,"Παρακολουθούσε τους αγρότες , τους εμπόρους , τους βοσκούς και τα παιδιά να τελειώνουν τη μέρα τους .","그는 농부, 상인, 양치기, 아이들이 하루를 보내는 것을 지켜보았습니다."
sw,Juhudi za makazi marafiki na smuggle kwenye kisiwa katika makundi madogo kutoka kwenye fukwe za pwani za kusini walikuwa kwa mafanikio .,친구를 정착시키고 남해안 해변에서 소그룹으로 섬으로 밀입국하려는 노력은 성공적이었습니다.
zh,东西没问题，只是过海关的时候被查验了，封口都打开了，这处人怎么敢吃呢？只好直接扔了。吃的东西怎么好打开查验的，海关存心恶心人吧！,음식에는 문제가 없지만 세관 통과시 검역을 받고 봉인이 풀렸는데 여기 사람들이 감히 먹나요? 그것을 버려야 했다. 음식을 어떻게 개봉하고 검사할 수 있습니까? 세관이 역겨워요!
ar,وينبغي الوفاء بالاحتياجات المتعلقة بالتدريب والتوثيق والصيانة .,"교육, 문서화 및 유지 관리 요구 사항이 충족되어야 합니다."
it,Quanto tempo dopo l'obliterazione il ragazzo deve tornare a scuola?,취소 후 얼마 후에 자녀가 학교에 복귀해야 합니까?
ar,"نعم , نعم , هذا جيد جدا لا استطيع التعامل مع الامر لفترة طويلة اعني انني من محبي الرياضة لكنها","그래, 그래, 아주 좋아. 오래 버틸 수 없어. 내 말은, 나는 스포츠 광신자지만, 그건..."
bg,какво би било оценено - полезността на екрана или на свойства на екрана ?,무엇을 평가할 것인가 - 화면의 유용성 또는 화면의 속성?
fr,"Acheté pour une partie de pêche nocturne, j'en suis très contente.",밤낚시용으로 구매했는데 아주 만족합니다.
es,El cable es demasiado rigido,케이블이 너무 뻣뻣함
sw,Kategoria za wageni stahiki kwa huduma za kisheria ufadhili,법률 서비스 자금 지원 대상 외국인 범주
it,Nella denuncia sono stati nominati gli ex amministratori delegati Paul A. Allaire e G. Richard Thoman e l'ex direttore finanziario Barry D. Romeril.,"소장에는 전 CEO Paul A. Allaire와 G. Richard Thoman, 전 CFO Barry D. Romeril이 포함되어 있습니다."
ru,Ожидайте каких-то непристойно замечаний в широких дублине акцентов .,넓은 더블린 억양으로 된 외설적인 말을 기대하십시오.
ur,آپ کی رائے کا شکریہ ۔ اس نے آپ کے ساتھ ایک اور بے حیائی کا آغاز کیا ۔,의견을 보내주셔서 감사합니다. 그는 당신과 또 다른 음란을 시작했습니다.
pl,"Hovan nie mówił, ale jego prawnik, John Speranza, powiedział, że jego klient ""nie obudził się tego dnia"", zamierzając nikogo skrzywdzić.","Hovan은 말을 하지 않았지만 그의 변호사인 John Speranza는 그의 의뢰인이 누군가를 해치려는 의도로 ""그날 일어나지 않았다""고 말했습니다."
de,ist alles gut angekommen,모든 것이 잘 도착했습니다
ar,"وليس من رد القول ان التقييد على الكلام غير ضار لانه , بموجب تفسير الفقر للقانون , يمكن ان ينسحب محاميه .",법의 빈곤 해석에 따라 그의 변호사가 철회할 수 있기 때문에 언론의 제한이 무해하다고 말하는 것은 대답이 아닙니다.
de,Es kam Dampf und Wasser aus allen Ritzen und Öffnungen. War wohl eine Dichtung defekt. Sowas kann eigendlich nicht übersehen werden wenn man das Gerät vorher testet. Mein erster Ausflug in die Warehouse Deal Welt war ein klarer Reinfall. Ein Lob an Amazon für die wie immer reibungslose Rückabwicklung.,모든 틈과 구멍에서 증기와 물이 나왔습니다. 씰에 결함이 있는 것 같습니다. 그런 점은 미리 기기를 테스트해 보면 간과할 수 없다. 창고 거래 세계로의 첫 진출은 완전한 실패였습니다. 언제나처럼 원활한 반품 프로세스를 위해 Amazon에 감사드립니다.
vi,"Trong tương lai , cách để nói với một máy tính thực sự từ một máy tính tôi sẽ là bạn nói với một máy tính thực sự phải làm gì và khi nào để làm điều đó trong khi một thiết bị tôi sẽ cho bạn biết phải làm gì và khi nào để làm điều đó .","앞으로 컴퓨터에서 실제 컴퓨터를 알려주는 방법은 실제 컴퓨터에게 무엇을 해야 하는지, 언제 해야 하는지 알려주는 반면 장치는 무엇을 해야 하는지, 무엇을 언제 해야 하는지 알려주는 것입니다."
it,Due cani stanno correndo in una zona erbosa.,두 마리의 개가 잔디밭을 달리고 있습니다.
